Serial  Exact_Count  Global_Count  Error
239  38624  38377.4  0.638478
240  38923  38723.8  0.511826
241  39207  39073.2  0.341147
242  39474  39326.2  0.374465
243  39781  39736.6  0.111574
244  40124  40255.3  0.327176
245  40478  40518.4  0.0997287
246  40854  40784.6  0.169928
247  41201  41054.2  0.356261
248  41569  41708.3  0.335156
249  41952  42481.9  1.26301
250  42241  42761.4  1.23203
251  42648  43269.7  1.45782
252  42913  43498.1  1.36355
253  43327  43960.4  1.46188
254  43671  44312.1  1.46811
255  43998  44548.6  1.2515
256  44369  44787.6  0.943357
257  44637  44908.7  0.608651
258  44940  45153.7  0.47552
259  45324  45526.9  0.447622
260  45651  45652.3  0.0028414
261  45953  46224  0.589821
262  46299  46352.6  0.115776
263  46651  46612.5  0.0824459
264  47056  46810.1  0.522525
265  47412  47142.3  0.568768
266  47801  47949.6  0.310866
267  48146  48289  0.29693
268  48507  48495.2  0.0242932
269  48876  48774  0.208771
270  49222  49196.8  0.0512635
271  49577  49481  0.193616
272  49920  49841.4  0.157497
273  50262  50350  0.175007
274  50617  50643.6  0.0526354
275  51023  51015.3  0.0151226
276  51319  51165  0.300059
277  51720  51317.5  0.778211
278  52116  51702.1  0.794277
279  52491  52245.2  0.468312
280  52904  52795.1  0.20592
281  53315  53112.1  0.380553
282  53730  53513.5  0.402852
283  54044  53999.7  0.08202
284  54422  54653.4  0.425279
285  54748  55067.2  0.582988
286  55133  55401.2  0.486484
287  55465  55739.7  0.49524
288  55833  56080.5  0.443282
289  56120  56253.2  0.237294
290  56443  56515  0.127609
291  56813  57042.3  0.403624
292  57257  57841.8  1.02141
293  57638  58561.4  1.60205
294  58049  58924.6  1.50843
295  58372  59108.4  1.26152
296  58784  59387.3  1.0263
297  59129  59574.7  0.753768
298  59523  59574.7  0.0868493
299  59950  60339.5  0.649747
300  60332  60918.3  0.971801
301  60719  61112.2  0.647576
302  61237  61407.2  0.277884
303  61702  61803.8  0.164939
304  62120  61903.6  0.348279
305  62503  62713.7  0.337154
306  62917  63225.5  0.490363
307  63311  63534.9  0.353684
308  63715  63743.7  0.0451202
