Serial  Exact_Count  Global_Count  Error
238  38322  37121.9  3.13167
239  38624  37415.7  3.12847
240  38923  37644.7  3.28405
241  39207  37970.7  3.15319
242  39474  38354.1  2.83701
243  39781  38685.7  2.75337
244  40124  38991.7  2.82199
245  40478  39314.5  2.8745
246  40854  39738.5  2.73034
247  41201  39909.5  3.13453
248  41569  40269.6  3.12599
249  41952  40762.6  2.83509
250  42241  41171.8  2.5312
251  42648  41510.5  2.66717
252  42913  41747.9  2.71512
253  43327  42167.2  2.67686
254  43671  42529.3  2.6143
255  43998  43061.2  2.12924
256  44369  43444.1  2.08452
257  44637  43567.6  2.39567
258  44940  43878.6  2.36173
259  45324  44145  2.60134
260  45651  44413.8  2.71021
261  45953  44811.8  2.48335
262  46299  45276.7  2.20796
263  46651  45567.8  2.32192
264  47056  46219.4  1.77792
265  47412  46826.2  1.23548
266  47801  47438  0.759413
267  48146  47770.9  0.7791
268  48507  48123.4  0.790744
269  48876  48444.6  0.8827
270  49222  48631.9  1.19887
271  49577  49009.2  1.14528
272  49920  49233.9  1.37449
273  50262  49687.1  1.14379
274  50617  50126.1  0.969792
275  51023  50550.8  0.925426
276  51319  50817.6  0.976937
277  51720  51283.7  0.843671
278  52116  51771.4  0.661197
279  52491  52062.4  0.816524
280  52904  52465.6  0.828747
281  53315  52834.3  0.901584
282  53730  53261.8  0.871382
283  54044  53467.6  1.06654
284  54422  53995.7  0.783329
285  54748  54318.2  0.785085
286  55133  54815  0.576713
287  55465  55180.5  0.512898
288  55833  55568  0.474541
289  56120  55841  0.497117
290  56443  56234  0.370223
291  56813  56530.6  0.497035
292  57257  56849.4  0.711963
293  57638  57230.7  0.706605
294  58049  57473.2  0.991991
295  58372  57798.5  0.982542
296  58784  58330.7  0.771143
297  59129  58701.6  0.722891
298  59523  59178.9  0.578128
299  59950  59722.2  0.380019
300  60332  60016.5  0.522916
301  60719  60270.6  0.738423
302  61237  60845  0.64007
303  61702  61338.9  0.588522
304  62120  61878.6  0.388601
305  62503  62139.3  0.581929
306  62917  62555  0.575312
307  63311  62995.2  0.49873
308  63715  63637.7  0.121394
309  64197  64217.6  0.0320456
310  64639  64644.1  0.00796399
311  65126  65163.5  0.0576164
312  65511  65481.7  0.0446527
313  65907  65916.6  0.0146116
314  66428  66307.8  0.180977
315  66847  66724.7  0.182932
316  67231  67167.7  0.0941412
317  67606  67519.7  0.127647
