Serial  Exact_Count  Global_Count  Error
202  27652  26800  5.61839e-309
203  27884  26900  5.61868e-309
204  28128  27100  5.61881e-309
205  28430  27300  5.61896e-309
206  28683  27600  5.61902e-309
207  29037  27900  5.61907e-309
208  29310  28100  5.61919e-309
209  29538  28400  5.61951e-309
210  29848  28700  5.61962e-309
211  30119  28800  5.61972e-309
212  30418  29100  5.62017e-309
213  30661  29400  5.62019e-309
214  30918  29600  5.62025e-309
215  31225  30000  5.62055e-309
216  31491  30600  5.62076e-309
217  31806  30700  5.62083e-309
218  32040  30800  5.62117e-309
219  32310  30900  5.62129e-309
220  32555  31100  5.62163e-309
221  32847  31400  5.62168e-309
222  33247  31800  5.62223e-309
223  33530  32000  5.62231e-309
224  33855  32400  5.6224e-309
225  34180  32800  5.62244e-309
226  34471  33100  5.62267e-309
227  34817  33500  5.62306e-309
228  35145  33700  5.62352e-309
229  35444  33800  5.62373e-309
230  35715  33800  5.62405e-309
231  36040  34100  5.6241e-309
232  36416  34100  5.6241e-309
233  36759  34400  5.62414e-309
234  37048  34400  5.62448e-309
235  37419  34800  5.62469e-309
236  37752  35200  5.62486e-309
237  37992  35400  5.62509e-309
238  38322  35900  5.62524e-309
239  38624  36500  5.62579e-309
240  38923  37000  5.62639e-309
241  39207  37400  5.62647e-309
242  39474  37700  5.62668e-309
243  39781  37800  5.62688e-309
244  40124  37800  5.62724e-309
245  40478  38100  5.62736e-309
246  40854  38400  5.62772e-309
247  41201  38500  5.62779e-309
248  41569  38700  5.62796e-309
249  41952  39400  5.62836e-309
250  42241  39400  5.62895e-309
251  42648  39400  5.62904e-309
252  42913  39600  5.62936e-309
253  43327  40100  5.62953e-309
254  43671  40200  5.63042e-309
255  43998  40300  5.63044e-309
256  44369  40800  5.6305e-309
257  44637  41100  5.63095e-309
258  44940  41100  5.63106e-309
259  45324  41900  5.63148e-309
260  45651  42200  5.63156e-309
261  45953  42400  5.63176e-309
262  46299  42700  5.63199e-309
263  46651  43300  5.63218e-309
264  47056  43700  5.63243e-309
265  47412  44200  5.6326e-309
266  47801  44400  5.63294e-309
267  48146  44600  5.63339e-309
268  48507  45100  5.63339e-309
269  48876  45900  5.63347e-309
270  49222  46400  5.63369e-309
271  49577  46500  5.63386e-309
272  49920  47200  5.63398e-309
273  50262  47400  5.63409e-309
274  50617  47500  5.63471e-309
275  51023  47800  5.63477e-309
276  51319  48500  5.63532e-309
277  51720  48600  5.63541e-309
278  52116  48700  5.63551e-309
279  52491  49200  5.63558e-309
280  52904  50000  5.63598e-309
281  53315  50600  5.63615e-309
282  53730  51000  5.63659e-309
283  54044  51100  5.63668e-309
284  54422  51300  5.63674e-309
285  54748  51800  5.63676e-309
286  55133  52300  5.63738e-309
287  55465  52800  5.63763e-309
288  55833  53000  5.63776e-309
289  56120  53000  5.63799e-309
290  56443  53600  5.63802e-309
